suspected_spell_err,num_first_person_use,num_third_person_use,mention_of_emotion,mention_of_substance,mention_of_manic,mention_of_crime,mention_of_selfharm,mention_of_hospitalization,mention_of_societal,mention_of_therapy,mention_of_violence,mention_of_isolation,label
1,0,0,0,0,0,0,0,0,0,0,0,0,1
7,0,0,0,0,0,0,0,0,0,2,0,0,0
7,0,0,0,0,0,0,5,0,1,0,2,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,1,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0
19,4,0,1,0,0,0,4,0,0,0,2,0,1
5,0,0,4,0,0,0,0,0,0,0,0,0,1
38,5,0,2,0,0,0,1,1,0,2,1,0,1
12,0,2,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,1,0,0,0,0,0,0,0,1,0,1,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,1
6,0,0,0,0,0,0,0,0,0,0,0,0,1
5,0,0,1,0,1,0,1,0,0,0,1,1,1
19,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1
12,1,3,2,0,0,0,1,0,0,0,0,0,1
8,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1,0,0,0,0,0,2,0,0,0,0,0,1
12,1,4,0,1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0
7,3,0,1,0,0,0,0,0,0,0,0,0,1
8,2,0,0,0,0,0,2,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,1
34,4,0,13,1,0,0,9,0,0,2,2,1,1
4,0,0,0,0,0,0,1,0,0,0,0,0,0
4,0,0,0,0,0,0,1,0,0,1,0,0,1
17,1,2,0,1,0,0,2,0,0,1,5,0,1
4,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,4,0,0,0,0,0,0,0,0,0,0,0,1
7,2,1,3,0,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,3,0,0,0,0,1,0,0,1,0,1
14,2,0,1,0,0,0,0,0,0,0,0,0,0
34,1,1,2,0,0,0,1,0,0,0,1,0,1
9,0,0,3,0,0,0,0,0,0,0,0,1,0
29,0,2,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,1,0,0,0,1,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2,1,5,0,0,0,5,0,0,0,1,0,1
59,11,4,5,0,0,0,7,0,0,0,1,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,1,0,0,0,0,0,1
17,1,1,1,0,0,0,0,0,1,0,0,0,0
8,0,0,0,0,0,0,1,0,0,0,1,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2,4,0,0,0,0,1,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,1,0,0,0,0,0,0
3,0,0,1,0,0,0,1,0,0,0,0,0,1
7,1,0,4,0,0,0,1,2,0,1,2,0,1
16,0,2,0,1,0,0,0,0,0,0,1,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,2,0,0,0,0,0,1
53,3,2,5,1,0,0,0,1,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,0,0,0,0,0,0,0,1,0,0,0
31,0,0,3,2,2,0,5,0,0,2,4,0,1
11,2,0,0,0,1,0,1,0,0,0,1,1,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,1
11,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,1
4,0,1,0,0,0,0,1,0,0,0,0,1,1
4,2,1,0,0,0,0,0,0,0,0,0,0,0
13,2,0,3,0,0,0,4,0,0,0,0,0,1
10,0,1,2,1,0,0,3,0,0,0,2,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,1,0,0,0,1,1,1
9,0,0,1,0,0,0,0,0,0,0,0,0,0
9,1,0,0,0,0,0,1,0,0,0,0,0,1
11,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,2,2,0,0,0,2,1,0,3,0,1,1
5,0,0,3,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2,0,1,1,0,0,0,0,0,2,0,1,1
20,0,2,1,0,0,0,1,0,0,0,0,1,0
13,2,0,1,0,0,0,3,0,0,0,1,0,1
1,0,0,1,0,0,0,1,0,0,0,0,0,1
14,0,0,0,0,0,0,1,0,0,0,0,0,1
6,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,0,0,0,0,0,0,0,0,0,0,0,1
5,0,0,1,0,0,0,0,0,0,0,0,1,1
2,0,0,0,0,0,0,0,0,0,0,0,0,1
11,0,0,1,0,0,0,3,0,0,0,2,0,1
8,0,0,0,0,0,0,0,0,0,1,0,0,1
8,2,0,0,0,0,0,1,0,0,0,1,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,1
8,1,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1
5,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,1,0,0,0,0,1,0,0,0,0,0,1
6,1,0,1,1,0,0,0,0,0,0,0,0,1
12,0,1,2,0,0,0,1,0,0,0,0,0,1
5,2,0,0,0,0,0,0,0,0,0,0,0,1
3,0,0,1,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,1,0,0,0,1,0,1
2,0,0,0,0,0,0,1,0,0,0,1,0,0
36,0,0,2,0,0,0,5,0,0,0,3,1,1
4,0,0,3,0,0,0,3,0,0,0,0,0,1
24,0,0,0,0,0,3,0,0,0,0,0,0,0
7,0,0,0,0,2,0,0,0,0,0,0,0,0
22,3,0,0,0,0,0,0,0,1,0,0,0,1
5,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,1,0,0,0,3,0,0,0,0,0,1
37,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,2,0,0,0,1,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,4,1,0,0,0,3,0,0,1,1,0,1
12,0,1,0,0,0,0,1,0,2,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,1,0
7,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,1,0,0,0,0,0,0,1
11,0,0,0,0,0,0,0,0,0,0,0,0,1
15,0,1,0,0,0,0,0,0,0,0,0,0,1
13,1,2,1,0,0,0,1,1,0,0,0,0,1
16,3,1,0,0,0,0,2,0,0,0,1,0,1
3,0,1,0,0,0,0,2,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,2,0,0,0,0,0,0,0,0,0,0,0
33,2,2,1,0,1,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,1,0,0,0,0,0,1
19,0,0,0,0,0,2,1,0,0,0,1,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,0,0,0,0,0,0,0,0,2,0,1
22,2,1,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,3,0,0,3,0,1,1
16,0,0,0,0,0,0,1,0,0,0,1,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,1,0,0
15,0,0,1,0,0,0,1,0,0,1,0,0,1
13,1,1,0,0,0,0,1,0,1,0,1,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,1,0,0,0,0,0,0,0,0,0,0,0
32,1,0,0,0,0,1,0,0,0,0,1,0,0
24,3,0,1,0,0,0,0,0,1,0,2,0,1
73,1,5,4,0,1,0,16,2,0,0,6,2,1
29,2,2,0,0,0,0,3,0,0,1,1,0,1
33,2,0,1,0,0,0,1,0,0,0,0,0,1
9,0,0,2,0,0,0,7,0,3,0,0,0,1
10,1,0,3,0,0,0,3,0,0,0,2,2,1
2,0,0,0,0,0,0,0,0,0,0,0,0,1
11,0,1,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0
36,5,0,0,2,0,0,2,0,0,0,2,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,1,0,0,0,0,0,1
40,0,3,0,1,2,0,3,0,0,1,1,0,1
4,0,0,0,0,0,0,1,0,0,0,0,0,1
6,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,1
5,0,0,0,0,0,0,2,0,0,0,0,0,1
4,0,0,0,0,1,0,1,0,0,0,0,0,1
7,0,0,1,0,0,0,0,0,0,0,0,0,0
30,0,1,1,0,0,0,3,0,0,3,1,0,1
11,0,2,1,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,3,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,1,0,0,0,1,1,0,1,1,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0
